lat: 55.727786, lon: 37.337140
lat: 55.727736, lon: 37.336922
lat: 55.727740, lon: 37.336947
lat: 55.727731, lon: 37.336935
lat: 55.727727, lon: 37.336943
lat: 55.727716, lon: 37.336938
lat: 55.727722, lon: 37.336926
lat: 55.727730, lon: 37.336905
lat: 55.727740, lon: 37.336925
lat: 55.727730, lon: 37.336911
lat: 55.727724, lon: 37.336916
lat: 55.727737, lon: 37.336899
lat: 55.727742, lon: 37.336880
lat: 55.727749, lon: 37.336900
lat: 55.727746, lon: 37.336886
lat: 55.727747, lon: 37.336865
lat: 55.727743, lon: 37.336863
lat: 55.727736, lon: 37.336837
lat: 55.727734, lon: 37.336836
lat: 55.727728, lon: 37.336852
lat: 55.727717, lon: 37.336847
lat: 55.727708, lon: 37.336865
lat: 55.727714, lon: 37.336891
lat: 55.727727, lon: 37.336891
lat: 55.727738, lon: 37.336870
lat: 55.727745, lon: 37.336853
lat: 55.727751, lon: 37.336862
lat: 55.727747, lon: 37.336854
lat: 55.727756, lon: 37.336832
lat: 55.727748, lon: 37.336816
lat: 55.727743, lon: 37.336831
lat: 55.727737, lon: 37.336843
lat: 55.727730, lon: 37.336846
lat: 55.727736, lon: 37.336856
lat: 55.727723, lon: 37.336830
lat: 55.727722, lon: 37.336812
lat: 55.727720, lon: 37.336823
lat: 55.727735, lon: 37.336803
lat: 55.727741, lon: 37.336826
lat: 55.727744, lon: 37.336829
lat: 55.727730, lon: 37.336821
lat: 55.727737, lon: 37.336833
lat: 55.727723, lon: 37.336811
lat: 55.727710, lon: 37.336830
lat: 55.727701, lon: 37.336820
lat: 55.727687, lon: 37.336821
lat: 55.727675, lon: 37.336812
lat: 55.727667, lon: 37.336804
lat: 55.727679, lon: 37.336828
lat: 55.727665, lon: 37.336852
lat: 55.727679, lon: 37.336853
lat: 55.727668, lon: 37.336847
lat: 55.727659, lon: 37.336827
lat: 55.727659, lon: 37.336849
lat: 55.727646, lon: 37.336828
lat: 55.727645, lon: 37.336807
lat: 55.727644, lon: 37.336791
lat: 55.727654, lon: 37.336790
lat: 55.727648, lon: 37.336812
lat: 55.727643, lon: 37.336811
lat: 55.727634, lon: 37.336804
lat: 55.727619, lon: 37.336794
lat: 55.727626, lon: 37.336780
lat: 55.727630, lon: 37.336787
lat: 55.727621, lon: 37.336796
lat: 55.727623, lon: 37.336778
lat: 55.727614, lon: 37.336789
lat: 55.727615, lon: 37.336784
lat: 55.727625, lon: 37.336759
lat: 55.727620, lon: 37.336780
lat: 55.727609, lon: 37.336796
lat: 55.727624, lon: 37.336802
lat: 55.727639, lon: 37.336819
lat: 55.727627, lon: 37.336807
lat: 55.727634, lon: 37.336804
lat: 55.727642, lon: 37.336827
lat: 55.727651, lon: 37.336842
lat: 55.727643, lon: 37.336843
lat: 55.727629, lon: 37.336864
lat: 55.727618, lon: 37.336849
lat: 55.727620, lon: 37.336860
lat: 55.727616, lon: 37.336875
lat: 55.727614, lon: 37.336896
lat: 55.727605, lon: 37.336883
lat: 55.727618, lon: 37.336884
lat: 55.727607, lon: 37.336862
lat: 55.727601, lon: 37.336843
lat: 55.727607, lon: 37.336832
lat: 55.727621, lon: 37.336847
lat: 55.727623, lon: 37.336857
lat: 55.727615, lon: 37.336849
lat: 55.727619, lon: 37.336823
lat: 55.727607, lon: 37.336843
lat: 55.727608, lon: 37.336825
lat: 55.727617, lon: 37.336834
lat: 55.727612, lon: 37.336827
lat: 55.727609, lon: 37.336838
lat: 55.727598, lon: 37.336854
lat: 55.727602, lon: 37.336846
lat: 55.727589, lon: 37.336848
lat: 55.727599, lon: 37.336833
lat: 55.727603, lon: 37.336814
lat: 55.727599, lon: 37.336805
lat: 55.727597, lon: 37.336795
lat: 55.727585, lon: 37.336770
lat: 55.727570, lon: 37.336761
lat: 55.727567, lon: 37.336767
lat: 55.727562, lon: 37.336768
lat: 55.727562, lon: 37.336788
lat: 55.727567, lon: 37.336777
lat: 55.727569, lon: 37.336750
lat: 55.855488, lon: 37.510354
lat: 55.855480, lon: 37.510346
lat: 55.855486, lon: 37.510356
lat: 55.855475, lon: 37.510362
lat: 55.855476, lon: 37.510380
lat: 55.855468, lon: 37.510379
lat: 55.697447, lon: 37.365640
lat: 55.697446, lon: 37.365622
lat: 55.697443, lon: 37.365603
lat: 55.697447, lon: 37.365590
lat: 55.697447, lon: 37.365606
lat: 55.697444, lon: 37.365580
lat: 55.697448, lon: 37.365572
lat: 55.697452, lon: 37.365569
lat: 55.697463, lon: 37.365543
lat: 55.697461, lon: 37.365556
lat: 55.697475, lon: 37.365582
lat: 55.697474, lon: 37.365578
lat: 55.697465, lon: 37.365564
lat: 55.697468, lon: 37.365576
lat: 55.697476, lon: 37.365602
lat: 55.697484, lon: 37.365580
lat: 55.697470, lon: 37.365566
lat: 55.697462, lon: 37.365563
lat: 55.697459, lon: 37.365582
lat: 55.697465, lon: 37.365604
lat: 55.697469, lon: 37.365582
lat: 55.697482, lon: 37.365571
lat: 55.697480, lon: 37.365574
lat: 55.697487, lon: 37.365564
lat: 55.697490, lon: 37.365546
lat: 55.697476, lon: 37.365549
lat: 55.697465, lon: 37.365550
lat: 55.697480, lon: 37.365541
lat: 55.697488, lon: 37.365546
lat: 55.697474, lon: 37.365546
lat: 55.697477, lon: 37.365563
lat: 55.697479, lon: 37.365570
lat: 55.697467, lon: 37.365587
lat: 55.697453, lon: 37.365586
lat: 55.697459, lon: 37.365598
lat: 55.697455, lon: 37.365590
lat: 55.697465, lon: 37.365579
lat: 55.697469, lon: 37.365567
lat: 55.697480, lon: 37.365561
lat: 55.697482, lon: 37.365557
lat: 55.697483, lon: 37.365564
lat: 55.697498, lon: 37.365574
lat: 55.697488, lon: 37.365599
lat: 55.697473, lon: 37.365621
lat: 55.697476, lon: 37.365598
lat: 55.697473, lon: 37.365580
lat: 55.697485, lon: 37.365606
lat: 55.697493, lon: 37.365631
lat: 55.697502, lon: 37.365649
lat: 55.697501, lon: 37.365648
lat: 55.697503, lon: 37.365666
lat: 55.697513, lon: 37.365660
lat: 55.697501, lon: 37.365658
lat: 55.697507, lon: 37.365684
lat: 55.697517, lon: 37.365671
lat: 55.697514, lon: 37.365665
lat: 55.697526, lon: 37.365660
lat: 55.697513, lon: 37.365635
lat: 55.697510, lon: 37.365613
lat: 55.697523, lon: 37.365638
lat: 55.697512, lon: 37.365630
lat: 55.697502, lon: 37.365606
lat: 55.697496, lon: 37.365628
lat: 55.697482, lon: 37.365608
lat: 55.697489, lon: 37.365606
lat: 55.697493, lon: 37.365597
lat: 55.697487, lon: 37.365594
lat: 55.697494, lon: 37.365590
lat: 55.697506, lon: 37.365584
lat: 55.697503, lon: 37.365599
lat: 55.697507, lon: 37.365615
lat: 55.697497, lon: 37.365617
lat: 55.697489, lon: 37.365602
lat: 55.697491, lon: 37.365608
lat: 55.697485, lon: 37.365608
lat: 55.697487, lon: 37.365606
lat: 55.697497, lon: 37.365618
lat: 55.697498, lon: 37.365600
lat: 55.697502, lon: 37.365602
lat: 55.697496, lon: 37.365596
lat: 55.697481, lon: 37.365618
lat: 55.697487, lon: 37.365607
lat: 55.697483, lon: 37.365604
lat: 55.697490, lon: 37.365592
lat: 55.697500, lon: 37.365572
lat: 55.697486, lon: 37.365570
lat: 55.697499, lon: 37.365554
lat: 55.697484, lon: 37.365536
lat: 55.697482, lon: 37.365539
lat: 55.697490, lon: 37.365552
lat: 55.697477, lon: 37.365544
lat: 55.697468, lon: 37.365565
lat: 55.697455, lon: 37.365577
lat: 55.697442, lon: 37.365589
lat: 55.697435, lon: 37.365580
lat: 55.697423, lon: 37.365568
lat: 55.697415, lon: 37.365585
lat: 55.697417, lon: 37.365590
lat: 55.697410, lon: 37.365579
lat: 55.697421, lon: 37.365557
lat: 55.697419, lon: 37.365580
lat: 55.697421, lon: 37.365572
lat: 55.697409, lon: 37.365575
lat: 55.697410, lon: 37.365578
lat: 55.697398, lon: 37.365566
lat: 55.697392, lon: 37.365548
lat: 55.697396, lon: 37.365548
lat: 55.697383, lon: 37.365560
lat: 55.697374, lon: 37.365539
lat: 55.697372, lon: 37.365538
lat: 55.697370, lon: 37.365540
lat: 55.697378, lon: 37.365549
lat: 55.697374, lon: 37.365541
lat: 55.697367, lon: 37.365547
lat: 55.697372, lon: 37.365529
lat: 55.697377, lon: 37.365505
lat: 55.697365, lon: 37.365492
lat: 55.697362, lon: 37.365476
lat: 55.697371, lon: 37.365499
lat: 55.697379, lon: 37.365521
lat: 55.697370, lon: 37.365496
lat: 55.697358, lon: 37.365515
lat: 55.697359, lon: 37.365496
lat: 55.697361, lon: 37.365510
lat: 55.697353, lon: 37.365484
lat: 55.697346, lon: 37.365493
lat: 55.697347, lon: 37.365468
lat: 55.697343, lon: 37.365489
lat: 55.697339, lon: 37.365495
lat: 55.697339, lon: 37.365470
lat: 55.697347, lon: 37.365453
lat: 55.697335, lon: 37.365472
lat: 55.697333, lon: 37.365473
lat: 55.697320, lon: 37.365458
lat: 55.697318, lon: 37.365475
lat: 55.697307, lon: 37.365483
lat: 55.697318, lon: 37.365468
lat: 55.697318, lon: 37.365462
lat: 55.697314, lon: 37.365440
lat: 55.697303, lon: 37.365446
lat: 55.697291, lon: 37.365441
lat: 55.697285, lon: 37.365448
lat: 55.697282, lon: 37.365455
lat: 55.697283, lon: 37.365471
lat: 55.697276, lon: 37.365446
lat: 55.697285, lon: 37.365421
lat: 55.697277, lon: 37.365443
lat: 55.697289, lon: 37.365450
lat: 55.697286, lon: 37.365475
lat: 55.697297, lon: 37.365493
lat: 55.697305, lon: 37.365468
lat: 55.697305, lon: 37.365474
lat: 55.697298, lon: 37.365448
lat: 55.697313, lon: 37.365454
lat: 55.697301, lon: 37.365435
lat: 55.697293, lon: 37.365418
lat: 55.697294, lon: 37.365420
lat: 55.697303, lon: 37.365444
lat: 55.697293, lon: 37.365436
lat: 55.697301, lon: 37.365432
lat: 55.697297, lon: 37.365435
lat: 55.697296, lon: 37.365440
lat: 55.697295, lon: 37.365433
lat: 55.697287, lon: 37.365453
lat: 55.697282, lon: 37.365433
lat: 55.697289, lon: 37.365410
lat: 55.697278, lon: 37.365396
lat: 55.697283, lon: 37.365390
lat: 55.697276, lon: 37.365400
lat: 55.697291, lon: 37.365392
lat: 55.697301, lon: 37.365378
lat: 55.697302, lon: 37.365370
lat: 55.697310, lon: 37.365363
lat: 55.697304, lon: 37.365386
lat: 55.697311, lon: 37.365361
lat: 55.697306, lon: 37.365340
lat: 55.697309, lon: 37.365357
lat: 55.697315, lon: 37.365334
lat: 55.697305, lon: 37.365358
lat: 55.697319, lon: 37.365357
lat: 55.697306, lon: 37.365367
lat: 55.697308, lon: 37.365351
lat: 55.697321, lon: 37.365337
lat: 55.697323, lon: 37.365321
lat: 55.697336, lon: 37.365324
lat: 55.697337, lon: 37.365338
lat: 55.697346, lon: 37.365317
lat: 55.697334, lon: 37.365319
lat: 55.697334, lon: 37.365315
lat: 55.697333, lon: 37.365299
lat: 55.697332, lon: 37.365315
lat: 55.697326, lon: 37.365293
lat: 55.697329, lon: 37.365267
lat: 55.697319, lon: 37.365282
lat: 55.697333, lon: 37.365261
lat: 55.697326, lon: 37.365235
lat: 55.697335, lon: 37.365252
lat: 55.697326, lon: 37.365266
lat: 55.697313, lon: 37.365280
lat: 55.697326, lon: 37.365306
lat: 55.697321, lon: 37.365306
lat: 55.697328, lon: 37.365286
lat: 55.697332, lon: 37.365304
lat: 55.697336, lon: 37.365283
lat: 55.697329, lon: 37.365262
lat: 55.697323, lon: 37.365275
lat: 55.697336, lon: 37.365281
lat: 55.697346, lon: 37.365283
lat: 55.697349, lon: 37.365308
lat: 55.697344, lon: 37.365312
lat: 55.697332, lon: 37.365318
lat: 55.697334, lon: 37.365338
lat: 55.697332, lon: 37.365353
lat: 55.697336, lon: 37.365353
lat: 55.697337, lon: 37.365358
lat: 55.697337, lon: 37.365377
lat: 55.697325, lon: 37.365361
lat: 55.697339, lon: 37.365373
lat: 55.697326, lon: 37.365380
lat: 55.697335, lon: 37.365371
lat: 55.697343, lon: 37.365351
lat: 55.697330, lon: 37.365360
lat: 55.697336, lon: 37.365381
lat: 55.697328, lon: 37.365372
lat: 55.697339, lon: 37.365376
lat: 55.697351, lon: 37.365398
lat: 55.697341, lon: 37.365397
lat: 55.697351, lon: 37.365403
lat: 55.697344, lon: 37.365401
lat: 55.697331, lon: 37.365417
lat: 55.697318, lon: 37.365421
lat: 55.697323, lon: 37.365402
lat: 55.697331, lon: 37.365410
lat: 55.697343, lon: 37.365428
lat: 55.697336, lon: 37.365438
lat: 55.697326, lon: 37.365413
lat: 55.697335, lon: 37.365399
lat: 55.697341, lon: 37.365400
lat: 55.697330, lon: 37.365423
lat: 55.697340, lon: 37.365449
lat: 55.697341, lon: 37.365462
lat: 55.697353, lon: 37.365472
lat: 55.697345, lon: 37.365484
lat: 55.697339, lon: 37.365483
lat: 55.697329, lon: 37.365478
lat: 55.697323, lon: 37.365464
lat: 55.697337, lon: 37.365488
lat: 55.697333, lon: 37.365501
lat: 55.697336, lon: 37.365489
lat: 55.697339, lon: 37.365508
lat: 55.697353, lon: 37.365522
lat: 55.697364, lon: 37.365536
lat: 55.697379, lon: 37.365541
lat: 55.697373, lon: 37.365521
lat: 55.697374, lon: 37.365501
lat: 55.697361, lon: 37.365477
lat: 55.697373, lon: 37.365503
lat: 55.697380, lon: 37.365483
lat: 55.697386, lon: 37.365458
lat: 55.697390, lon: 37.365479
lat: 55.697388, lon: 37.365500
lat: 55.697376, lon: 37.365496
lat: 55.697387, lon: 37.365495
lat: 55.697377, lon: 37.365492
lat: 55.697384, lon: 37.365506
lat: 55.697379, lon: 37.365517
lat: 55.697379, lon: 37.365501
lat: 55.697379, lon: 37.365502
lat: 55.697388, lon: 37.365516
lat: 55.697391, lon: 37.365506
lat: 55.697403, lon: 37.365518
lat: 55.697399, lon: 37.365534
lat: 55.697406, lon: 37.365512
lat: 55.697418, lon: 37.365508
lat: 55.697407, lon: 37.365509
lat: 55.697401, lon: 37.365513
lat: 55.697399, lon: 37.365509
lat: 55.697384, lon: 37.365497
lat: 55.697396, lon: 37.365479
lat: 55.697403, lon: 37.365487
lat: 55.697416, lon: 37.365463
lat: 55.697411, lon: 37.365460
lat: 55.697404, lon: 37.365477
lat: 55.697417, lon: 37.365453
lat: 55.697420, lon: 37.365458
lat: 55.697416, lon: 37.365457
lat: 55.697410, lon: 37.365469
lat: 55.697403, lon: 37.365444
lat: 55.697413, lon: 37.365427
lat: 55.697412, lon: 37.365451
lat: 55.697418, lon: 37.365466
lat: 55.697419, lon: 37.365445
lat: 55.697410, lon: 37.365447
lat: 55.697406, lon: 37.365426
lat: 55.697412, lon: 37.365403
lat: 55.697420, lon: 37.365412
lat: 55.697408, lon: 37.365391
lat: 55.697397, lon: 37.365384
lat: 55.697410, lon: 37.365360
lat: 55.697407, lon: 37.365361
lat: 55.697412, lon: 37.365376
lat: 55.697426, lon: 37.365401
lat: 55.697427, lon: 37.365389
lat: 55.697412, lon: 37.365380
lat: 55.697410, lon: 37.365378
lat: 55.697404, lon: 37.365358
lat: 55.697396, lon: 37.365376
lat: 55.697388, lon: 37.365373
lat: 55.697384, lon: 37.365377
lat: 55.697385, lon: 37.365356
lat: 55.697390, lon: 37.365345
lat: 55.697398, lon: 37.365360
lat: 55.697395, lon: 37.365379
lat: 55.697384, lon: 37.365370
lat: 55.697397, lon: 37.365374
lat: 55.697408, lon: 37.365378
lat: 55.697403, lon: 37.365396
lat: 55.697405, lon: 37.365415
lat: 55.697392, lon: 37.365418
lat: 55.697383, lon: 37.365420
lat: 55.697369, lon: 37.365419
lat: 55.697374, lon: 37.365407
lat: 55.697368, lon: 37.365427
lat: 55.697375, lon: 37.365438
lat: 55.697373, lon: 37.365425
lat: 55.697383, lon: 37.365404
lat: 55.697384, lon: 37.365409
lat: 55.697396, lon: 37.365432
lat: 55.697395, lon: 37.365407
lat: 55.697387, lon: 37.365401
lat: 55.697390, lon: 37.365380
lat: 55.697405, lon: 37.365404
lat: 55.697418, lon: 37.365405
lat: 55.697427, lon: 37.365380
lat: 55.697414, lon: 37.365407
lat: 55.697416, lon: 37.365386
lat: 55.697416, lon: 37.365371
lat: 55.697412, lon: 37.365388
lat: 55.697400, lon: 37.365366
lat: 55.697401, lon: 37.365368
lat: 55.697396, lon: 37.365360
lat: 55.697400, lon: 37.365381
lat: 55.697414, lon: 37.365382
lat: 55.697424, lon: 37.365377
lat: 55.697425, lon: 37.365355
lat: 55.697434, lon: 37.365336
lat: 55.697425, lon: 37.365351
lat: 55.697413, lon: 37.365331
lat: 55.697406, lon: 37.365352
lat: 55.697396, lon: 37.365345
lat: 55.697408, lon: 37.365358
lat: 55.697407, lon: 37.365351
lat: 55.697421, lon: 37.365370
lat: 55.697412, lon: 37.365346
lat: 55.697426, lon: 37.365358
lat: 55.697428, lon: 37.365348
lat: 55.697415, lon: 37.365332
lat: 55.697406, lon: 37.365306
lat: 55.697413, lon: 37.365282
lat: 55.697411, lon: 37.365270
lat: 55.697399, lon: 37.365255
lat: 55.697397, lon: 37.365245
lat: 55.697412, lon: 37.365246
lat: 55.697410, lon: 37.365235
lat: 55.697408, lon: 37.365241
lat: 55.697413, lon: 37.365230
lat: 55.697408, lon: 37.365211
lat: 55.697413, lon: 37.365201
lat: 55.697398, lon: 37.365220
lat: 55.697394, lon: 37.365245
lat: 55.697396, lon: 37.365268
lat: 55.697389, lon: 37.365275
lat: 55.697379, lon: 37.365274
lat: 55.697383, lon: 37.365294
lat: 55.697384, lon: 37.365272
lat: 55.697373, lon: 37.365279
lat: 55.697368, lon: 37.365283
lat: 55.697381, lon: 37.365273
lat: 55.697369, lon: 37.365267
lat: 55.697372, lon: 37.365267
lat: 55.697357, lon: 37.365254
lat: 55.697366, lon: 37.365246
lat: 55.697363, lon: 37.365245
lat: 55.697368, lon: 37.365240
lat: 55.697363, lon: 37.365214
lat: 55.697359, lon: 37.365236
lat: 55.697372, lon: 37.365243
lat: 55.697374, lon: 37.365221
lat: 55.697362, lon: 37.365206
lat: 55.697376, lon: 37.365213
lat: 55.697370, lon: 37.365192
lat: 55.697363, lon: 37.365198
lat: 55.697369, lon: 37.365184
lat: 55.697381, lon: 37.365198
lat: 55.697385, lon: 37.365198
lat: 55.697378, lon: 37.365205
lat: 55.697386, lon: 37.365183
lat: 55.697400, lon: 37.365165
lat: 55.697402, lon: 37.365172
lat: 55.697404, lon: 37.365194
lat: 55.697408, lon: 37.365216
lat: 55.697418, lon: 37.365220
lat: 55.697420, lon: 37.365215
lat: 55.697425, lon: 37.365224
lat: 55.697428, lon: 37.365230
lat: 55.697422, lon: 37.365253
lat: 55.697429, lon: 37.365256
lat: 55.697430, lon: 37.365251
lat: 55.697439, lon: 37.365249
lat: 55.697429, lon: 37.365244
lat: 55.697443, lon: 37.365242
lat: 55.697429, lon: 37.365253
lat: 55.697430, lon: 37.365227
lat: 55.697441, lon: 37.365207
lat: 55.697446, lon: 37.365202
lat: 55.697432, lon: 37.365191
lat: 55.697427, lon: 37.365211
lat: 55.697438, lon: 37.365231
lat: 55.697431, lon: 37.365233
lat: 55.697432, lon: 37.365254
lat: 55.697422, lon: 37.365272
lat: 55.697432, lon: 37.365292
lat: 55.697429, lon: 37.365285
lat: 55.697422, lon: 37.365269
lat: 55.697431, lon: 37.365265
lat: 55.697435, lon: 37.365280
lat: 55.697446, lon: 37.365289
lat: 55.697446, lon: 37.365285
lat: 55.697452, lon: 37.365278
lat: 55.697453, lon: 37.365269
lat: 55.697461, lon: 37.365273
lat: 55.697465, lon: 37.365252
lat: 55.697464, lon: 37.365252
lat: 55.697478, lon: 37.365264
lat: 55.697464, lon: 37.365265
lat: 55.697468, lon: 37.365248
lat: 55.697463, lon: 37.365246
lat: 55.697450, lon: 37.365259
lat: 55.697460, lon: 37.365249
lat: 55.697473, lon: 37.365257
lat: 55.697480, lon: 37.365261
lat: 55.697479, lon: 37.365268
lat: 55.697471, lon: 37.365291
lat: 55.697457, lon: 37.365313
lat: 55.697451, lon: 37.365319
lat: 55.697443, lon: 37.365295
lat: 55.697434, lon: 37.365315
lat: 55.697424, lon: 37.365324
lat: 55.697420, lon: 37.365304
lat: 55.697417, lon: 37.365298
lat: 55.697421, lon: 37.365273
lat: 55.697423, lon: 37.365299
lat: 55.697423, lon: 37.365305
lat: 55.697430, lon: 37.365296
lat: 55.697443, lon: 37.365306
lat: 55.697457, lon: 37.365314
lat: 55.697451, lon: 37.365311
lat: 55.697443, lon: 37.365311
lat: 55.697440, lon: 37.365301
lat: 55.697437, lon: 37.365310
lat: 55.697450, lon: 37.365319
lat: 55.697457, lon: 37.365299
lat: 55.697458, lon: 37.365319
lat: 55.697466, lon: 37.365340
lat: 55.697452, lon: 37.365324
lat: 55.697445, lon: 37.365331
lat: 55.697437, lon: 37.365350
lat: 55.697441, lon: 37.365363
lat: 55.697439, lon: 37.365355
lat: 55.697427, lon: 37.365348
lat: 55.697413, lon: 37.365325
lat: 55.697428, lon: 37.365316
lat: 55.697429, lon: 37.365303
lat: 55.697439, lon: 37.365324
lat: 55.697441, lon: 37.365310
lat: 55.697443, lon: 37.365311
lat: 55.697455, lon: 37.365300
lat: 55.697460, lon: 37.365296
lat: 55.697449, lon: 37.365293
lat: 55.697444, lon: 37.365275
lat: 55.697448, lon: 37.365280
lat: 55.697457, lon: 37.365300
lat: 55.697455, lon: 37.365296
lat: 55.697459, lon: 37.365317
lat: 55.697468, lon: 37.365328
lat: 55.697460, lon: 37.365346
lat: 55.697469, lon: 37.365333
lat: 55.697459, lon: 37.365322
lat: 55.697459, lon: 37.365296
lat: 55.697450, lon: 37.365274
lat: 55.697442, lon: 37.365287
lat: 55.697446, lon: 37.365269
lat: 55.697432, lon: 37.365256
lat: 55.697434, lon: 37.365240
lat: 55.697440, lon: 37.365260
lat: 55.697436, lon: 37.365252
lat: 55.697435, lon: 37.365234
lat: 55.697427, lon: 37.365256
lat: 55.697430, lon: 37.365275
lat: 55.697439, lon: 37.365268
lat: 55.697440, lon: 37.365245
lat: 55.697432, lon: 37.365236
lat: 55.697427, lon: 37.365230
lat: 55.697430, lon: 37.365248
lat: 55.697427, lon: 37.365264
lat: 55.697440, lon: 37.365272
lat: 55.697442, lon: 37.365275
lat: 55.697451, lon: 37.365279
lat: 55.697460, lon: 37.365272
lat: 55.697468, lon: 37.365272
lat: 55.697461, lon: 37.365253
lat: 55.697471, lon: 37.365265
lat: 55.697465, lon: 37.365243
lat: 55.697470, lon: 37.365264
lat: 55.697482, lon: 37.365262
lat: 55.697476, lon: 37.365260
lat: 55.697477, lon: 37.365260
lat: 55.697485, lon: 37.365280
lat: 55.697497, lon: 37.365274
lat: 55.697503, lon: 37.365264
lat: 55.697494, lon: 37.365271
lat: 55.697508, lon: 37.365283
lat: 55.697498, lon: 37.365297
lat: 55.697493, lon: 37.365323
lat: 55.697481, lon: 37.365301
lat: 55.697481, lon: 37.365294
lat: 55.697473, lon: 37.365286
lat: 55.697461, lon: 37.365288
lat: 55.697459, lon: 37.365302
lat: 55.697457, lon: 37.365293
lat: 55.697448, lon: 37.365304
lat: 55.697457, lon: 37.365318
lat: 55.697449, lon: 37.365322
lat: 55.697452, lon: 37.365302
lat: 55.697466, lon: 37.365292
lat: 55.697464, lon: 37.365273
lat: 55.697478, lon: 37.365268
lat: 55.697489, lon: 37.365248
lat: 55.697479, lon: 37.365232
lat: 55.697467, lon: 37.365221
lat: 55.697461, lon: 37.365226
lat: 55.697466, lon: 37.365227
lat: 55.697479, lon: 37.365242
lat: 55.697466, lon: 37.365234
lat: 55.697467, lon: 37.365233
lat: 55.697472, lon: 37.365248
lat: 55.697463, lon: 37.365246
lat: 55.697464, lon: 37.365241
lat: 55.697451, lon: 37.365223
lat: 55.697452, lon: 37.365250
lat: 55.697451, lon: 37.365275
lat: 55.697440, lon: 37.365271
lat: 55.697437, lon: 37.365246
lat: 55.697439, lon: 37.365249
lat: 55.697430, lon: 37.365257
